Upload Retinal Image,Segmented Image,Jaccard,F1,Recall,Precision,Accuracy,FPS,flag,username,timestamp
,,0,0,0,0,0,0,,,2024-07-02 14:27:46.566895
flagged\Upload Retinal Image\192331566c5cf7a1217b\08_test.tif,flagged\Segmented Image\a884753e7ac09008d7af\image.webp,0.0,0.0,0.0,0.0,0.9256553649902344,2.272438842559684,,,2024-07-02 15:06:35.367306
